ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
cnn_20250424_1850_5676,96.2351%,96.7317%,95.7038%,96.2150%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3285%,164
cnn_20250424_1850_6134,96.4408%,97.8683%,94.9497%,96.3869%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6485%,189
cnn_20250424_1850_6318,96.3894%,97.3746%,95.3496%,96.3515%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.4961%,176
cnn_20250424_1854_7437,96.6693%,97.8111%,95.4753%,96.6291%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7400%,176
cnn_20250424_1856_8881,96.4865%,98.0399%,94.8697%,96.4288%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5266%,164
cnn_20250424_1858_7083,96.5665%,96.8502%,96.2637%,96.5561%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6028%,192
cnn_20250424_1858_4444,96.2809%,97.6810%,94.8126%,96.2254%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3437%,177
cnn_20250424_1859_1059,96.4065%,96.9483%,95.8295%,96.3857%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3437%,150
cnn_20250424_1859_1455,96.4808%,97.7914%,95.1097%,96.4319%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6409%,181
cnn_20250424_1859_1609,96.5265%,97.5812%,95.4182%,96.4876%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6028%,171
cnn_20250424_1900_7134,96.2694%,96.8529%,95.6467%,96.2460%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3818%,196
cnn_20250424_1859_5586,96.2923%,96.8327%,95.7153%,96.2708%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.2675%,166
cnn_20250424_1900_3432,96.0580%,96.7200%,95.3496%,96.0299%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.0312%,150
cnn_20250424_1903_2236,96.3608%,97.8084%,94.8469%,96.3049%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3513%,191
cnn_20250424_1905_7947,96.1952%,97.3530%,94.9726%,96.1481%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3970%,157
